Level1,Level2,Level3,Level4,Level5,Number,Address
Diaspora,Republica Coreea,Seoul,,,99,"50 Jangmun-ro, Yongsan-gu, Seoul, 04393"
Diaspora,Republica Croația,Zagreb,,,100,"Mlinarska cesta 43, 10000"
Diaspora,Cuba,Havana,,,101,"Ave. 5ta A, no. 4407 e/44 y 46, Miramar, Playa, La Habana"
Diaspora,Danemarca,Copenhaga 1,,,102,"Institut français du Danemark, Rolighedsvej 37, 1958 Frederiksberg C, Copenhagen"
Diaspora,Danemarca,Copenhaga 2,,,103,"Institut français du Danemark, Rolighedsvej 37, 1958 Frederiksberg C, Copenhagen"
Diaspora,Danemarca,Taastrup,,,104,"3F Høje-Taastrup, Pile Allé 18-20, 2630 Taastrup"
Diaspora,Danemarca,Lyngby,,,105,"3F Mølleåen, Firskovvej 5, 2800 Kongens Lyngby"
Diaspora,Danemarca,Ringsted,,,106,"3F Midt & Østsjælland, Vibevej 12, 4100 Ringsted"
Diaspora,Danemarca,Odense,,,107,"Hotel Knudsens Gaard, Hunderupgade 2, 5230 Odense M"
Diaspora,Danemarca,Aabenraa,,,108,"Kirsebærhavens Aktivitetscenter- Brugerrådet, Kallemosen 58, 6200 Aabenraa"
Diaspora,Danemarca,Esbjerg,,,109,"Fødevareforbundet NNF Sydjylland- Esbjerg, Borgergade 2-4 6700, Esbjerg"
Diaspora,Danemarca,Vejle,,,110,"3F Vejle, Sjællandsgade 30, 7100 Vejle"
Diaspora,Danemarca,Ringkøbing,,,111,"3F Ringkøbing-Skjern, Byskellet 33, 6950 Ringkøbing"
Diaspora,Danemarca,Aarhus,,,112,"3F Aarhus Rymarken, Rymarken 4, 8210 Aarhus"
Diaspora,Danemarca,Skive,,,113,"Frivilligcenter,  Søndergade 16C, 7800 Skive"
Diaspora,Danemarca,Aalborg,,,114,"3F Aalborg, Hadsundvej 184, 9000 Aalborg"
Diaspora,Danemarca,Herning,,,115,"3F Midtjylland, Birk Centerpark 4, 7400 Herning"
Diaspora,Islanda,Reykjavik,,,116,"Fosshotel Reykjavík, Þórunnartún 1, 105 Reykjavík"
Diaspora,Egipt,Cairo,,,117,"6 Al Kamel Mohammed, Al Gabalayah, Zamalek, Cairo, cod poștal 4270122"
Diaspora,Elveția,Geneva,,,118,"Rue Vermont 37 - 39, 1202 Geneva"
Diaspora,Elveția,Cologny,,,119,"Chemin de la Perriere 6, 1223 Cologny"
Diaspora,Elveția,Berna,,,120,"Parohia ortodoxă română Sf. M. Mc. Gheorghe, Kastellweg 7, 3004 Bern"
Diaspora,Elveția,Basel,,,121,"Stellwerk, Vogesenplatz 1, 4056 Basel"
Diaspora,Elveția,Bellinzona,,,122,"Spazio Aperto, Via Gerretta 9a, 6500 Bellinzona"
Diaspora,Elveția,Lausanne,,,123,"IBIS Lausanne Crissier, Chem. de l'Esparcette 4, 1023 Lausanne"
Diaspora,Elveția,Zürich 1,,,124,"Radisson Blu Hotel, Rondellstrasse, 8058 Zürich Airport"
Diaspora,Elveția,Zürich 2,,,125,"Hilton Garden Inn Zürich Limmattal, Kreuzäckerstrasse 5, 8957 Spreitenbach"
Diaspora,Emiratele Arabe Unite,Abu Dhabi,,,126,"Abu Al Abyad Street, Villa nr. 15, Al Bateen area, cod poștal 70416, Abu Dhabi"
