number,country,city,location,address,latitude,longitude
67,Brazilia ,Rio de Janeiro,Consulat General,"Rua Cosme Velho, nr. 526, Rio de Janeiro, 22241-090",-22.94010093,-43.19870742
68,Brazilia ,São Paulo,Altele,"Rua São Carlos do Pinhal, nr. 200, São Paulo, 01333-000",-23.56501723,-46.64952916
69,Bulgaria,Sofia,Ambasadă,"Bd. Mihai Eminescu nr. 4, Sofia, cod poștal 1111",42.68514093,23.35188131
70,Canada,Ottawa,Ambasadă,"655 Rideau Street, Ottawa, ON, cod poștal K1N 6A3",45.43392866,-75.67386136
71,Canada,Calgary,Altele,"17 Millrise Dr. SW, Calgary, AB, cod poștal T2Y 0K7",50.9164727,-114.07291427
72,Canada,Moncton,Altele,"20 Mountain Road, Moncton,  NB cod poștal E1C 2J8",46.09401368,-64.77477691
73,Canada,Quebec,Altele,"90 boul. des Etudiants, Quebec,  QC, cod poștal G2A 1N5",46.85580671,-71.36146245
74,Canada,Toronto,Consulat General,"789 Don Mills Rd., North York,  provincia Ontario, cod poștal M3C 1T5",43.71860696,-79.3375942
75,Canada,Hamilton,Altele,"20 Murray St. W., Hamilton,  provincia Ontario, cod poștal L8L 1B2",43.26550001,-79.86620102
76,Canada,Kitchener,Altele,"2188 Shirley Dr., Kitchener,  provincia Ontario, cod poștal N2B 0A6",43.47663479,-80.43627447
77,Canada,Windsor,Altele,"1960 Tecumseh Rd. E., Windsor,  provincia Ontario, cod poștal  N8W 1E1",42.30178449,-82.99873197
78,Canada,Winnipeg,Altele,"103 Furby St., Winnipeg,  provincia Manitoba, cod poștal R3C 2A4",49.88199137,-97.15791732
79,Canada,Montreal,Consulat General,"1010 Rue Sherbrooke Ouest,et.6,  #610, c.p.h3a 2r7",45.50199966,-73.57536905
80,Canada,Montreal,Altele,"1010 Rue Sherbrooke Ouest, et.15. #1516, c.p. h3a 2r7 (sala evenimente)",45.50216543,-73.5757552
81,Canada,Vancouver,Consulat General,"1165-555 Burrard Street, Vancouver, BC, V7X 1M8",49.28637202,-123.11900831
82,Canada,Edmonton,Altele,"9005 - 132 Avenue NW,  Edmonton AB, T5E 0Y1",53.59185566,-113.48023179
83,Republica Cehă,Praga,Ambasadă,"Strada Nerudova nr. 5, 118 00, Mala Strana, Praga 1",50.08850482,14.40093461
84,Republica Cehă,Praga,Ambasadă,"Strada Nerudova nr. 5, 118 00, Mala Strana, Praga 1",50.08850482,14.40093461
85,Republica Cehă,Praga,Ambasadă,"Strada Tržiště, nr. 20a, 118 00, Mala Strana, Praga 1",50.08850482,14.40093461
86,Republica Chile,Santiago de Chile,Ambasadă,"Santiago de Chile, Benjamin  2955, Las Condes, Regiunea  Metropolitana, cod poștal  7550032",-33.41270307,-70.60066305
87,Republica Populară Chineză,Beijing,Ambasadă,"Str. Ritan Lu Dong Yi Jie,  Districtul Chaoyang, cod poștal  100600, Beijing",39.91589442,116.44710258
88,Republica Populară Chineză,Hong Kong,Consulat General,"03A Unit, 21 Floor, 148 Electric  Road, North Point, Hong Kong",22.28644324,114.19175017
89,Republica Populară Chineză,Shanghai,Consulat General,"502 Room, Honi International  Plaza, 199 Chengdu North Road,  Jing An District, Shanghai,  200041",31.22741486,121.46679604
90,Republica Cipru,Nicosia,Ambasadă,"27 Pireos street, 2023 Strovolos  Nicosia",35.14745139,33.35262992
91,Republica Cipru,Nicosia,Secție Consulară,"128 - 130 Lemessos Avenue,  2015, Strovolos Nicosia",35.1432706,33.37381678
92,Republica Cipru,Larnaca,Altele,"Chamit Mpei street, 6045 Larnaca",34.92298003,33.61876469
93,Republica Cipru,Limassol,Altele,"Lophitis Business Center, 28 October Avenue 249-I, Ground floor, 3035 Limassol",34.67891096,33.05134527
94,Republica Cipru,Pafos,Altele,"Teatrul Attikon, Evagora  Pallikaridi street, cod poștal  8010, Pafos, Cipru",34.77677832,32.42263951
95,Republica Cipru,Poli Chrysochous,Altele,"Centrul Cultural, 15 Asinoi, street, cod poștal 8820, Poli Crysochous, Cipru",35.03437391,32.42401722
96,Republica Cipru,Agros,Altele,"Școala Gimnazială Apeitou, 44  Kyriacou Apeitou str., 4860 Agros",34.91633059,33.01443775
97,Republica Cipru,Deryneia,Altele,"Cultural Center, 35 Evagorou  str., 5385 Deryneia",35.06765148,33.95895006
98,R.Columbia,Bogota,Ambasadă,"Carrera 7 Nr. 92A-58, Chico, Bogota",4.67231943,-74.04309535
99,Republica Coreea,Seoul,Ambasadă,"50 Jangmun-ro, Yongsan-gu,  Seoul, 04393",37.52703783,126.99535251
100,Republica Croația,Zagreb,Ambasadă,"Mlinarska cesta 43, 10000",45.82779483,15.97750187
101,Cuba,Havana,Ambasadă,"Ave. 5ta A, no. 4407 e/44 y 46, Miramar, Playa, La Habana",23.11380265,-82.43079606
102,Danemarca,Copenhaga,Altele,"Institut français du Danemark,  Rolighedsvej 37, 1958  Frederiksberg C, Copenhagen",55.68427396,12.54469725
103,Danemarca,Copenhaga,Altele,"Institut français du Danemark,  Rolighedsvej 37, 1958  Frederiksberg C, Copenhagen",55.68429609,12.54456637
104,Danemarca,Taastrup,Altele,"3F Høje-Taastrup, Pile Allé 18- 20, 2630 Taastrup",55.64735017,12.29583957
105,Danemarca,Lyngby,Altele,"3F Mølleåen, Firskovvej 5, 2800  Kongens Lyngby",55.77156531,12.51314349
106,Danemarca,Ringsted,Altele,"3F Midt & Østsjælland, Vibevej  12, 4100 Ringsted",55.44186553,11.80176936
107,Danemarca,Odense,Altele,"Hotel Knudsens Gaard, Hunderupgade 2, 5230 Odense M",55.38142063,10.39458547
108,Danemarca,Aabenraa,Altele,"Kirsebærhavens  Aktivitetscenter- Brugerrådet,  Kallemosen 58, 6200 Aabenraa",55.02971618,9.40978699
109,Danemarca,Esbjerg,Altele,"Fødevareforbundet NNF  Sydjylland- Esbjerg, Borgergade  2-4 6700, Esbjerg",55.46199618,8.45178271
110,Danemarca,Vejle,Altele,"3F Vejle, Sjællandsgade 30,  7100 Vejle",55.70405275,9.5440994
111,Danemarca,Ringkøbing,Altele,"3F Ringkøbing-Skjern, Byskellet  33, 6950 Ringkøbing",56.08954639,8.2588413
112,Danemarca,Aarhus,Altele,"3F Aarhus Rymarken, Rymarken  4, 8210 Aarhus",56.16795721,10.152871
113,Danemarca,Skive,Altele,"Frivilligcenter,  Søndergade 16C, 7800 Skive",56.56164558,9.02596655
114,Danemarca,Aalborg,Altele,"3F Aalborg, Hadsundvej 184,  9000 Aalborg",57.02466748,9.96012515
115,Danemarca,Herning,Altele,"3F Midtjylland, Birk Centerpark  4, 7400 Herning",56.1329238,9.02170258
117,Egipt,Cairo,Ambasadă,"6 Al Kamel Mohammed, Al Gabalayah, Zamalek, Cairo, cod poștal 4270122",30.05883094,31.21905063
118,Elveția,Geneva,Misiune Permanentă,"Rue Vermont 37 - 39, 1202 Geneva",46.21884886,6.13717779
119,Elveția,Cologny,Misiune Permanentă,"Chemin de la Perriere 6, 1223 Cologny",46.22705424,6.18639097
120,Elveția,Berna,Altele,"Parohia ortodoxă română Sf. M.  Mc. Gheorghe, Kastellweg 7,  3004 Bern",46.9738857,7.45097607
121,Elveția,Basel,Altele,"Stellwerk, Vogesenplatz 1, 4056 Basel",47.5702119,7.57270264
122,Elveția,Bellinzona,Altele,"Spazio Aperto, Via Gerretta 9a, 6500 Bellinzona",47.55294432,7.59178145
123,Elveția,Lausanne,Altele,"IBIS Lausanne Crissier, Chem. de l`Esparcette 4, 1023 Lausanne",46.20109617,9.03029269
124,Elveția,Zürich,Altele,"Radisson Blu Hotel,  Rondellstrasse, 8058 Zürich Airport",47.45265637,8.56412605
125,Elveția,Zürich,Altele,"Hilton Garden Inn Zürich  Limmattal, Kreuzäckerstrasse 5,  8957 Spreitenbach",47.41784786,8.37781957
126,Emiratele Arabe Unite,Abu Dhabi,Ambasadă,"Abu Al Abyad Street, Villa nr.  15, Al Bateen area, cod poștal  70416, Abu Dhabi",24.46053276,54.34863438
127,Emiratele Arabe Unite,Dubai,Consulat General,"Al Safa 2, str. 16A, Vila nr.8,  Community 357, PO Box  333765, Dubai",25.14685317,55.21890403
128,Emiratele Arabe Unite,Dubai,Altele,"Dubai World Trade Center, sala  Sharjah A, Concourse 2, etaj 1, Sheikh Zayed Road, Dubai",25.22347142,55.28677479
129,Estonia,Tallinn,Ambasadă,"Rävala puiestee 5, etaj 5, cod poștal 10143, Tallinn",59.43365853,24.75702899
130,Etiopia,Addis Abeba,Ambasadă,"Kirkos subcity, Woreda 04,  House no. 1142, P.O. box 2478",8.98653888,38.77096517
131,Filipine,Manila,Ambasadă,"150 Legaspi street,  G.C.Corporate plaza, etaj 6, Legaspi Village, Makati city, cod poștal 1229, Manila",14.55654179,121.01641362
132,Finlanda,Helsinki,Ambasadă,"Stenbäckinkatu 24, cod poștal 00250, Helsinki",60.18641756,24.91008406
133,Finlanda,Mariehamn,Altele,"Norragatan 10A, cod poștal 22100, Mariehamn",60.09887845,19.93875658
134,Finlanda,Tampere,Altele,"Vuoreksen Puistokatu 94, cod poștal 33870, Tampere",61.4311761,23.8100135
135,Finlanda,Turku,Altele,"Yliopistonkatu 19, cod poștal 20100, Turku",60.45209442,22.26651944
136,Franța,Paris,Ambasadă,"123 Rue Saint-Dominique,  75007 Paris",48.85857,2.30296
137,Franța,Paris,Ambasadă,"123 Rue Saint-Dominique,  75007 Paris",48.85842,2.30293
138,Franța,Paris,Consulat General,"3 Rue de l`Exposition, 75007  Paris",48.85857861,2.30298497
