"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"2A",,,,,3,,"Colegio Río de la Plata - Primaria - Dr. T. M. de Anchorena 1644"
"2B",,,,,7,,"Inst. Mercedes Pacheco - Dr. T. M. de Anchorena 1553"
"2A",,,,,6,,"UBA - Facultad de Ingeniería - Av. Gral Las Heras 2214"
"2A",,,,,4,,"Oakhill School -  Sede Recoleta - Juncal 1914"
"2A",,,,,14,7,"Inst. Nuestra Señora de la Misericordia - Azcuénaga 1630"
"2B",,,,,3,,"Sede Comunal Nº2 - J. E. Uriburu 1022"
"2A",,,,,9,,"Colegio La Anunciata - Arenales 2065"
"2B",,,,,12,,"Esc. Carlos Pellegrini - M. T. de Alvear 1851 / 1875"
"2B",,,,,10,,"Esc. Interdisciplinaria Nº1 - Ayacucho 953"
"2B",,,,,9,,"Esc. Argentina Modelo - Riobamba 1059"
"2B",,,,,5,,"Casa del Bicentenario - Riobamba 985"
"2B",,,,,,7,"Esc. Nº1 ""R. Saenz Peña"" - Primaria - Paraguay 1950"
"2B",,,,,16,2,"Esc. Nº3 ""Onésimo Leguizamón"" - Av. Sta Fe 1510 / Paraná 1068"
"2B",,,,,9,,"Inst. del Carmen - Paraguay 1706"
"2B",,,,,8,,"Colegio Champagnat - Montevideo 1046"
"2B",,,,,7,,"Inst. Inmaculada C. de M. Adoratrices - Uruguay 936"
"2B",,,,,3,2,"Esc. Infantil Nº7 “Palacio Pizzurno” - Paraguay 1452"
"2B",,,,,4,4,"USAL - Facultad de Medicina - Av. Córdoba 1601"
"2B",,,,,8,,"Esc. Nº1 ""R. Saenz Peña"" - Secundaria - Av. Córdoba 1951"
"2B",,,,,8,,"Esc. Nº1 ""R. Saenz Peña"" - Primaria - Paraguay 1950"
"2B",,,,,8,4,"Esc. Nº23 ""Bernardino Rivadavia"" - Larrea 854"
"2B",,,,,10,5,"U.B.A.- Facultad de Medicina - Paraguay 2155"
"2B",,,,,10,6,"Esc. Nº2 ""Juan Larrea"" - Laprida 1235"
"2B",,,,,7,,"Colegio Edmondo de Amicis - Dr. N. Quirno Costa 1260"
"2B",,,,,11,6,"Esc. Nº6 ""Manuel Belgrano"" - Ecuador 1158 / s/n"
"2B",,,,,3,,"I.C.A.P.A. - Dr. T. M. de Anchorena 1266"
"2B",,,,,3,,"El Jardín de Palermo - Charcas 3082"
"2B",,,,,9,,"Inst. Los Angeles Custodios - Gral. Lucio N. Mansilla 2588"
"2B",,,,,6,,"Jardin Montessori Sunrise - Gallo 1261"
"2B",,,,,5,3,"Esc. Nº13 ""Rep. de Iran"" - José A. Cabrera 3484"
"2B",,,,,8,,"Colegio Aletheia – Gimnasio - Gallo 1353"
"2B",,,,,4,,"Inst. Educativo Guido Spano - Billinghurst 1355"
"2B",,,,,7,4,"Inst. Vocacional Argentino - Charcas 3034"
"2B",,,,,3,,"Jardín de infantes Nº4 - José A. Cabrera 3430"
"2B",,,,,6,,"UP - Facultad de Cs. Sociales - Mario Bravo 1259"
"3A",,,,,5,12,"Esc. Nº8 ""Dr. Arturo Mateo Bas"" - Tucumán 3233"
"3A",,,,,6,,"Esc. Nº23 ""T. M. de Anchorena"" - Dr. T. M. de Anchorena 855"
"3A",,,,,4,,"Esc. Nº24 ""Pcia. de Catamarca"" - Jean Jaures 870"
"3A",,,,,4,,"Esc. Nº14 ""J. M. de Pueyrredón"" - Boulogne Sur Mer 635"
"3A",,,,,4,,"Jardín de Infantes N°8 ""El Jardín del Abasto"" - San Luis 3224"
"3A",,,,,5,,"UP- Facultad de Arquitectura - Ecuador 931"
"3A",,,,,4,,"UP - Facultad de Diseño y Comunicación - Jean Jaures 932"
"3C",,,,,7,,"UBA – Fac. de Cs. Económicas - Av. Córdoba 2150"
"3C",,,,,5,10,"Esc. Nº10 ""Pte. Manuel Quintana"" - Lavalle 2366 / 2374"
"3C",,,,,8,7,"UBA – Fac. de Cs. Económicas - J.E.Uriburu 781"
"3C",,,,,3,,"Inst. Tea y Deportea - Lavalle 2067"
"3C",,,,,3,,"Colegio Corazón de Jesús - Ayacucho 480"
"3C",,,,,9,,"Colegio La Salle - Riobamba 696"
"3C",,,,,4,,"Colegio del Salvador - Av. Callao 542 / 592"
"3C",,,,,3,8,"Esc. N°9 “Domingo F. Sarmiento” - Av. Callao 450 / Pje. E. S. Discépolo 1842"
"3C",,,,,3,,"Esc. Nº2 ""Dr. A. Bermejo"" - Riobamba 623"
"3C",,,,,3,,"Esc. Nº2 ""Dr. A. Bermejo"" - Polideportivo - Av. Callao 628"
